id,name,phone number,address,Typeofbuilding,budget,dateofcompletion,location,square feet,category
14,Geethri,9128133509,"Krisala Adora, Ravet, , Pune, Maharashtra",AssemblyBuildings,9000000,9/16/2023,"Venkatesh Oxy Primo, Wagholi, , Pune, Maharashtra",1600,
15,Genova,9123097853,"Brahmanand soceity, Boat Club Road, , Pune, Maharashtra",AssemblyBuildings,15900000,7/29/2023,"Megapolis Sunway, Hinjewadi, , Pune, Maharashtra",1600,
16,Ghanahi,9120826916,"Lohia Vallonia, Bavdhan, , Pune, Maharashtra",AssemblyBuildings,5400000,8/31/2023,"Mundhwa, , Pune, Maharashtra",1600,
17,Ghobika,9125687043,"Bhoomi Blessings, Tapkir Nagar, , Pune, Maharashtra",AssemblyBuildings,10000000,10-10-2023,"Sai Sadan Apartments, Hadapsar, , Pune, Maharashtra",1600,
18,Girishana,9192197521,"Kamdhenu Mira 1, Chinchwad, , Pune, Maharashtra",AssemblyBuildings,316800,7/15/2023,"On Request, Bharati Vidyapeeth, , Pune, Maharashtra",1600,
19,Gitikasri,9120303391,"Yogesh Gandharv Excellencee, Moshi, , Pune, Maharashtra",AssemblyBuildings,12490000,8/31/2024,"Shree Ganesha Apartment, Katraj, , Pune, Maharashtra",1600,
20,Gnanatha,9120120865,"Gaikwad Heights., Khandve Nagar, , Pune, Maharashtra",AssemblyBuildings,11150000,7/29/2023,"Nanai Baug, Ganesh Nagar, , Pune, Maharashtra",1600,
21,Gobika,9120046360,"New Sanghvi, , Pune, Maharashtra",AssemblyBuildings,14600000,12/31/2023,"Eminent Aura Solis, Wanowrie, , Pune, Maharashtra",1600,
22,Gogilavani,9120045090,"Dorabjee Enclave, Salunke Vihar, , Pune, Maharashtra",AssemblyBuildings,30000000,10/28/2023,"Megapolis Sangria Towers, Hinjewadi, , Pune, Maharashtra",1600,
23,Gokulapriya,9120822292,"Bramha Sky City, Dhanori, , Pune, Maharashtra",AssemblyBuildings,15350000,6/24/2023,"Kumar Park Infinia Phase 4, Hadapsar, , Pune, Maharashtra",1600,
24,Gopashree,9120121983,"Nyati Exotica, NIBM, , Pune, Maharashtra",AssemblyBuildings,11350000,02-11-2023,"Parande Nagar, , Pune, Maharashtra",1600,
25,Gosika,9120045506,"Mayureshwar, jadhav rao industrial estate, , Pune, Maharashtra",AssemblyBuildings,12450000,5/31/2024,"Pethkar Siyona, Punawale, , Pune, Maharashtra",1600,
26,Govarthika,9900300054,"Dasharathi Complex, Balaji Nagar, , Pune, Maharashtra",AssemblyBuildings,958320,8/20/2023,"Shanti CHS, Shanti Nagar, , Pune, Maharashtra",1600,
27,Gowmi,9914505069,"Lunkad Arcade, Viman Nagar, , Pune, Maharashtra",AssemblyBuildings,330680,05-12-2023,"Gokhale Nagar, , Pune, Maharashtra",1600,
28,Gowranka,9124447198,"Achal leela khushboo, Vishal Nagar, , Pune, Maharashtra",AssemblyBuildings,23790000,12/31/2023,"Kolte Patil Life Republic, Hinjewadi, , Pune, Maharashtra",1600,
29,Gowrishanthi,9120089786,"Kiran Shubhlabh, Baner, , Pune, Maharashtra",AssemblyBuildings,8790000,09-02-2023,"Mittal Sun Paradise, Anand Nagar, , Pune, Maharashtra",1600,
30,Gowsala,9923400047,"AWHO Vijay Vihar, Wagholi, , Pune, Maharashtra",AssemblyBuildings,421080,6/15/2023,"Leisure Town, Hadapsar, , Pune, Maharashtra",1600,
31,Gowsiga,9923400063,"Sunshine Hills 2, Pisoli, , Pune, Maharashtra",AssemblyBuildings,421080,6/22/2023,"Shree Housing Society, Gulab Nagar, , Pune, Maharashtra",1600,
32,Gowthiri,9127006852,"Aldea Annexo Puranik, Baner, , Pune, Maharashtra",AssemblyBuildings,18180000,09-03-2023,"Madhuvishwa Society, Siddharth Nagar, , Pune, Maharashtra",1600,
33,Grethi,9129863433,"Talegaon Dabhade, , Pune, Maharashtra",AssemblyBuildings,11990000,09-11-2023,"Indrayani Apts, Sahyadri Park Kondhwa, , Pune, Maharashtra",1600,
34,Gunadevi,9129272694,"Goel Ganga Constella, Eon Free Zone , , Pune, Maharashtra",AssemblyBuildings,7790000,9/19/2023,"Payal Terrace, Aundh, , Pune, Maharashtra",1600,
35,Gunasundhari,9128369181,"SKYi Manas Lake, Bhukum, , Pune, Maharashtra",AssemblyBuildings,10890000,9/27/2023,"ABIL Imperial Atria, Baner, , Pune, Maharashtra",1600,
36,Gunthavi,9128222576,"Mansi Apartment, Madhuban Society, Old Sangvi, , Pune, Maharashtra",AssemblyBuildings,12890000,10-05-2023,"Jidnyasa Apartment, Ambegaon Bk, , Pune, Maharashtra",1800,
37,Haarika,9108515253,"Hari Ganga, Yerwada, , Pune, Maharashtra",AssemblyBuildings,3779820,10/13/2023,"AWHO Vijay Vihar, Vijay Vihar, , Pune, Maharashtra",1800,
38,Haimavathy,9108789333,"Paranjape Schemes' Rolling Hills 2 , Baner, , Pune, Maharashtra",AssemblyBuildings,702324,10/21/2023,"Godrej Infinity, Keshav Nagar, , Pune, Maharashtra",1800,
39,Hamidah,9108737700,"Balaji Krushna Kunj Society, Manjri BK, , Pune, Maharashtra",AssemblyBuildings,1461361,10/29/2023,"Gulmohar Parkview, Kharadi, , Pune, Maharashtra",1800,
40,Hamsalekha,9126662759,"Nyati Empire, Kharadi, , Pune, Maharashtra",AssemblyBuildings,21690000,11-06-2023,"Goel Hari Ganga, Swatantrya Sainik Nagar, , Pune, Maharashtra",1800,
41,Hamsi,9199546766,"Gurudutt Society, Dhankawadi, , Pune, Maharashtra",AssemblyBuildings,538560,11/14/2023,"HDFC Colony, Shahunagar, , Pune, Maharashtra",1800,
42,Hanika,9104824647,"Mulani Complex, Somnath Nagar, , Pune, Maharashtra",AssemblyBuildings,702324,11/22/2023,"Clover Acropolis, Viman Nagar, , Pune, Maharashtra",1800,
43,Jinarshee,9108557677,"Venkatesh Oxy Primo, Wagholi, , Pune, Maharashtra",AssemblyBuildings,702324,11/30/2023,"On Req, Pimple Gurav, , Pune, Maharashtra",1800,
44,Jinoraeka,9197481415,"Megapolis Sunway, Hinjewadi, , Pune, Maharashtra",AssemblyBuildings,607200,12-08-2023,"Kasturi Epitome, Wakad, , Pune, Maharashtra",1800,
45,Jirushika,9100758081,"Mundhwa, , Pune, Maharashtra",AssemblyBuildings,702324,12/16/2023,"suraj surbhi apartment, Kondhwa Budruk, , Pune, Maharashtra",1800,
46,Jisnupriya,9120170576,"Sai Sadan Apartments, Hadapsar, , Pune, Maharashtra",AssemblyBuildings,8750000,12/24/2023,"Shree Bhagwati Rudraksha, Punawale, , Pune, Maharashtra",1800,
47,Jobia,9127460937,"On Request, Bharati Vidyapeeth, , Pune, Maharashtra",AssemblyBuildings,10790000,01-01-2024,"killol apartment, Model Colony, , Pune, Maharashtra",1800,
48,Jojitha,9108740100,"Shree Ganesha Apartment, Katraj, , Pune, Maharashtra",AssemblyBuildings,1658389,01-09-2024,"Aapla Ghar Lonikand, Lonikand, , Pune, Maharashtra",1800,
49,Josetha,9108770100,"Nanai Baug, Ganesh Nagar, , Pune, Maharashtra",AssemblyBuildings,1658389,1/17/2024,"Malkani Buena Vista, Mhada Colony, , Pune, Maharashtra",1800,
50,Joshvi,9128005621,"Eminent Aura Solis, Wanowrie, , Pune, Maharashtra",AssemblyBuildings,16590000,1/25/2024,"Pashan, , Pune, Maharashtra",1800,
51,Josvi,9120086067,"Megapolis Sangria Towers, Hinjewadi, , Pune, Maharashtra",AssemblyBuildings,12850000,02-02-2024,"Planet Millennium CHS, Pimple Saudagar, , Pune, Maharashtra",1800,
52,Jothisha,9125403071,"Kumar Park Infinia Phase 4, Hadapsar, , Pune, Maharashtra",AssemblyBuildings,19690000,02-10-2024,"Green Crest Society, Phursungi, , Pune, Maharashtra",1800,
53,Jovana,9128168153,"Parande Nagar, , Pune, Maharashtra",AssemblyBuildings,12890000,2/18/2024,"Trimurti Sukhswapna, Kirkatwadi, , Pune, Maharashtra",1800,
54,Judi,9120508862,"Pethkar Siyona, Punawale, , Pune, Maharashtra",AssemblyBuildings,8850000,2/26/2024,"Shriram La Tierra, Vishrantwadi, , Pune, Maharashtra",1300,
55,Juniya,9127007870,"Shanti CHS, Shanti Nagar, , Pune, Maharashtra",AssemblyBuildings,56190000,03-05-2024,"Parmar Marudhar Residency, Kondhwa Budruk, , Pune, Maharashtra",1300,
56,Juva,9127778341,"Gokhale Nagar, , Pune, Maharashtra",AssemblyBuildings,18990000,3/13/2024,"Dreams Lynnea, Wagholi, , Pune, Maharashtra",1300,
57,Jyoshni,9125991658,"Kolte Patil Life Republic, Hinjewadi, , Pune, Maharashtra",AssemblyBuildings,12490000,3/21/2024,"Gulmohar Queenstown, Eon Free Zone , , Pune, Maharashtra",1300,
58,Kaali,9126584080,"Mittal Sun Paradise, Anand Nagar, , Pune, Maharashtra",AssemblyBuildings,17490000,3/29/2024,"Beverly Hills Residences, Lullanagar, , Pune, Maharashtra",1300,
59,Kaamit,9129542428,"Leisure Town, Hadapsar, , Pune, Maharashtra",AssemblyBuildings,7690000,04-06-2024,"Ganesh Society, Old Sangvi, , Pune, Maharashtra",1300,
60,Kaanchana,9121728723,"Shree Housing Society, Gulab Nagar, , Pune, Maharashtra",AssemblyBuildings,55590000,4/14/2024,"Kumar Park Infinia, Phursungi, , Pune, Maharashtra",1300,
61,Kaartiki,9124070272,"Madhuvishwa Society, Siddharth Nagar, , Pune, Maharashtra",AssemblyBuildings,23090000,4/22/2024,"kumar sophronia, Kalyani Nagar, , Pune, Maharashtra",1300,
62,Kaaveeya,9128030509,"Indrayani Apts, Sahyadri Park Kondhwa, , Pune, Maharashtra",AssemblyBuildings,21490000,4/30/2024,"Ganga Kunj Society, Vishrantwadi, , Pune, Maharashtra",1300,
63,Kabani,9127687543,"Payal Terrace, Aundh, , Pune, Maharashtra",AssemblyBuildings,12490000,05-08-2024,"On Req, Old Sangvi, , Pune, Maharashtra",1300,
64,Kadhambari,9129170752,"ABIL Imperial Atria, Baner, , Pune, Maharashtra",AssemblyBuildings,9790000,5/16/2024,"Shubhashri Residency, Akurdi, , Pune, Maharashtra",1300,
65,Kahta,9125644479,"Jidnyasa Apartment, Ambegaon Bk, , Pune, Maharashtra",AssemblyBuildings,16990000,5/24/2024,"S K Om Paradise, Kiwale, , Pune, Maharashtra",1300,
66,Kajaane,9192072643,"AWHO Vijay Vihar, Vijay Vihar, , Pune, Maharashtra",AssemblyBuildings,379334,06-01-2024,"Gagangiri Apartment, Pimple Gurav, , Pune, Maharashtra",1300,
67,Kajanithi,9192167944,"Godrej Infinity, Keshav Nagar, , Pune, Maharashtra",AssemblyBuildings,213806,06-09-2024,"Dhadage House, Yashwant Nager, , Pune, Maharashtra",1300,
68,Kakali,9192254961,"Gulmohar Parkview, Kharadi, , Pune, Maharashtra",AssemblyBuildings,227600,6/17/2024,"Magarpatta City Iris, Magarpatta, , Pune, Maharashtra",1300,
69,Kalai wani,9192349375,"Goel Hari Ganga, Swatantrya Sainik Nagar, , Pune, Maharashtra",AssemblyBuildings,227600,6/25/2024,"Shakti Krupa Apartment, Pimple Gurav, , Pune, Maharashtra",1300,
70,Kalaimagal,9192447995,"HDFC Colony, Shahunagar, , Pune, Maharashtra",AssemblyBuildings,241394,07-03-2024,"Dnyanesh Housing Society, Warje, , Pune, Maharashtra",1300,
71,Kalainilavu,9127920767,"Clover Acropolis, Viman Nagar, , Pune, Maharashtra",AssemblyBuildings,11090000,07-11-2024,"Gayatri hightes Mayur col KothruF C Bank lane, , Pune, Maharashtra",1300,
72,Kalaipuhal,9192053799,"On Req, Pimple Gurav, , Pune, Maharashtra",AssemblyBuildings,268982,7/19/2024,"Nyati Equatorial, Bhunde Vasti, , Pune, Maharashtra",1300,
73,Kalaivani,9192098540,"Kasturi Epitome, Wakad, , Pune, Maharashtra",AssemblyBuildings,337952,7/27/2024,"Renuka Vrindavan Rajyog , , Pimpri Chinchwad, , Pune, Maharashtra",1300,
74,Kalanidhi,9192113082,"suraj surbhi apartment, Kondhwa Budruk, , Pune, Maharashtra",AssemblyBuildings,337952,08-04-2024,"G K Royal Rahadki Greens Phase 1, Rahatani, , Pune, Maharashtra",1300,
75,Kalika,9192305332,"Shree Bhagwati Rudraksha, Punawale, , Pune, Maharashtra",AssemblyBuildings,268982,08-12-2024,"sakshi residency, Godwale vruk, Maharashtra, , Pune, Maharashtra",1300,
76,Kallai,9192396621,"killol apartment, Model Colony, , Pune, Maharashtra",AssemblyBuildings,213806,8/20/2024,"Sunflower Apartment, Talegaon Dabhade, , Pune, Maharashtra",1300,
77,Kalpita,9192698740,"Aapla Ghar Lonikand, Lonikand, , Pune, Maharashtra",AssemblyBuildings,227600,8/28/2024,"Dhanori, , Pune, Maharashtra",1300,
78,Kamadha,9122960400,"Malkani Buena Vista, Mhada Colony, , Pune, Maharashtra",AssemblyBuildings,57880000,09-05-2024,"Kunal Aspiree, Balewadi, , Pune, Maharashtra",1300,
79,Kamla,9127647200,"Pashan, , Pune, Maharashtra",AssemblyBuildings,17990000,9/13/2024,"Royal Oak, Wakad, , Pune, Maharashtra",1300,
80,Kamana,9106584658,"Planet Millennium CHS, Pimple Saudagar, , Pune, Maharashtra",AssemblyBuildings,869547,9/21/2024,"Pride Purple Sapphire Park, Wakad, , Pune, Maharashtra",1300,
81,Kamitha,9106517651,"Green Crest Society, Phursungi, , Pune, Maharashtra",AssemblyBuildings,869547,9/29/2024,"kuber prop, Dattanagar, , Pune, Maharashtra",1300,
82,Kamya,9124380540,"Trimurti Sukhswapna, Kirkatwadi, , Pune, Maharashtra",AssemblyBuildings,13990000,10-07-2024,"Satyam Shivam Apartment, Someshwarwadi, , Pune, Maharashtra",1300,
83,Kanakalatha,9127383976,"Shriram La Tierra, Vishrantwadi, , Pune, Maharashtra",AssemblyBuildings,9890000,10/15/2024,"Orange Life, Pashan-Sus Road, , Pune, Maharashtra",1300,
84,Kanapriya,9126994952,"Parmar Marudhar Residency, Kondhwa Budruk, , Pune, Maharashtra",AssemblyBuildings,11890000,10/23/2024,"Nestaway-61355, Ingawale Nagar, , Pune, Maharashtra",1300,
85,Kaneera,9124394195,"Dreams Lynnea, Wagholi, , Pune, Maharashtra",AssemblyBuildings,13990000,10/31/2024,"Shraddha Apartment, Jaymala Nagar, , Pune, Maharashtra",1300,
86,Kanika,9128060937,"Gulmohar Queenstown, Eon Free Zone , , Pune, Maharashtra",AssemblyBuildings,15490000,11-08-2024,"Cindrella Apartments, Camp, , Pune, Maharashtra",1300,
87,Kanisha,9124590040,"Beverly Hills Residences, Lullanagar, , Pune, Maharashtra",AssemblyBuildings,35250000,11/16/2024,"Shardul East Heaven, Loni Kalbhor, , Pune, Maharashtra",1300,
88,Kanjari,9125305903,"Ganesh Society, Old Sangvi, , Pune, Maharashtra",AssemblyBuildings,21390000,11/24/2024,"Viman Nagar, , Pune, Maharashtra",1300,
89,Kannaiyarli,9127758674,"Kumar Park Infinia, Phursungi, , Pune, Maharashtra",AssemblyBuildings,9890000,12-02-2024,"Disha Skyline, Viman Nagar, , Pune, Maharashtra",1300,
90,Kanshika,9106555352,"kumar sophronia, Kalyani Nagar, , Pune, Maharashtra",AssemblyBuildings,1761392,12-10-2024,"Pashankar Yin Yang, Kharadi, , Pune, Maharashtra",1300,
91,Kanu Priya,9106558889,"Ganga Kunj Society, Vishrantwadi, , Pune, Maharashtra",AssemblyBuildings,1068000,12/18/2024,"Greenland Society, Pimple Saudagar, , Pune, Maharashtra",1300,
92,Kanya Kumari,9106551177,"On Req, Old Sangvi, , Pune, Maharashtra",AssemblyBuildings,1890000,12/26/2024,"Sunrise Residency, Dhanori, , Pune, Maharashtra",1300,
93,Karaali,9106554499,"Shubhashri Residency, Akurdi, , Pune, Maharashtra",AssemblyBuildings,1890000,01-03-2025,"silver hills , Undri, , Pune, Maharashtra",1300,
94,Kareena,9106559911,"S K Om Paradise, Kiwale, , Pune, Maharashtra",AssemblyBuildings,1890000,01-11-2025,"New Sanghvi, , Pune, Maharashtra",1300,
95,Karla,9106553344,"Gagangiri Apartment, Pimple Gurav, , Pune, Maharashtra",AssemblyBuildings,2690000,1/19/2025,"BU Bhandari Vaastu Viva, Wakad, , Pune, Maharashtra",1300,
96,Karthekeya,9106570111,"Dhadage House, Yashwant Nager, , Pune, Maharashtra",AssemblyBuildings,869547,1/27/2025,"Gera Greensville Sky Villas, Kharadi, , Pune, Maharashtra",1300,
97,Kartisha,9106503040,"Magarpatta City Iris, Magarpatta, , Pune, Maharashtra",AssemblyBuildings,3454982,02-04-2025,"on request, Keshav Nagar, , Pune, Maharashtra",1300,
98,Karunamayee,9106553399,"Shakti Krupa Apartment, Pimple Gurav, , Pune, Maharashtra",AssemblyBuildings,1990000,02-12-2025,"Subhash krupa appartment, near joglekar nursery, , Pune, Maharashtra",1300,
99,Kashi,9106557007,"Dnyanesh Housing Society, Warje, , Pune, Maharashtra",AssemblyBuildings,981027,2/20/2025,"The Omega Paradise Phase 1, Shankar Kalat Nagar, , Pune, Maharashtra",1300,
100,Kashu,9127708073,"Gayatri hightes Mayur col Kothrud p Bank lane, , Pune, Maharashtra",AssemblyBuildings,16870000,2/28/2025,"PARMAR RESIDENCY, Salunke Vihar, , Pune, Maharashtra",1300,
101,Kasni,9124970756,"Nyati Equatorial, Bhunde Vasti, , Pune, Maharashtra",AssemblyBuildings,13090000,03-08-2025,"Geras Adara, Hinjewadi, , Pune, Maharashtra",1300,
102,Katherine,9121211894,"Renuka Vrindavan Rajyog colony, Walhekarwahinchwad, , Pune, Maharashtra",AssemblyBuildings,89340000,3/16/2025,"Rahul Park, Warje, , Pune, Maharashtra",1300,
103,Kaumaari,9122103989,"G K Royal Rahadki Greens Phase 1, Rahatani, , Pune, Maharashtra",AssemblyBuildings,44150000,3/24/2025,"Lodha Billmondo Gahunje, Gahunje, , Pune, Maharashtra",1300,
104,Kaushika,9199031002,"sakshi residency, Godwale vasti, Manjari Budruhtra, , Pune, Maharashtra",AssemblyBuildings,1292280,04-01-2025,"Nirmal Township, Anand Nagar, , Pune, Maharashtra",1300,
105,Kaveena,9191935242,"Sunflower Apartment, Talegaon Dabhade, , Pune, Maharashtra",AssemblyBuildings,844800,04-09-2025,"RK Spectra, Bavdhan, , Pune, Maharashtra",1300,
106,Kavibharathi,9191944257,"Dhanori, , Pune, Maharashtra",AssemblyBuildings,343200,4/17/2025,"Panchshil Waterfront, Kalyani Nagar, , Pune, Maharashtra",1300,
107,Kavinaya,9191944303,"Kunal Aspiree, Balewadi, , Pune, Maharashtra",AssemblyBuildings,679800,4/25/2025,"Konark Pooram, Kondhwa, , Pune, Maharashtra",1300,
108,Kavinyaashri,9100474445,"Royal Oak, Wakad, , Pune, Maharashtra",AssemblyBuildings,880693,05-03-2025,"Gokhale Nagar, , Pune, Maharashtra",1300,
109,Kavishri,9124480910,"Pride Purple Sapphire Park, Wakad, , Pune, Maharashtra",AssemblyBuildings,17450000,05-11-2025,"Ashok Chakra, Meera Nagar, , Pune, Maharashtra",1300,
110,Kavithanjali,9127684624,"kuber prop, Dattanagar, , Pune, Maharashtra",AssemblyBuildings,11050000,5/19/2025,"Balaji Prasad, Hasabnis Bakhal, , Pune, Maharashtra",1300,
111,Kaviyanayagi,9128935070,"Satyam Shivam Apartment, Someshwarwadi, , Pune, Maharashtra",AssemblyBuildings,12150000,5/27/2025,"JEEVANDHARA CO OP HSG SOCIETY, Yerwada, , Pune, Maharashtra",1300,
112,Kavya,9192196653,"Orange Life, Pashan-Sus Road, , Pune, Maharashtra",AssemblyBuildings,250800,06-04-2025,"Laxminarayan Niwas, Wakad, Wakad, , Pune, Maharashtra",1300,
113,Kayal,9190060290,"Nestaway-61355, Ingawale Nagar, , Pune, Maharashtra",AssemblyBuildings,514800,06-12-2025,"Legacy Bellezza, Wakad, , Pune, Maharashtra",1300,
114,Keeravani,9190044539,"Shraddha Apartment, Jaymala Nagar, , Pune, Maharashtra",AssemblyBuildings,316800,6/20/2025,"Naiknavare Sylvan Heights, Sanewadi, , Pune, Maharashtra",1300,
115,Keia,9195008237,"Cindrella Apartments, Camp, , Pune, Maharashtra",AssemblyBuildings,712800,6/28/2025,"Kolte Patil Downtown Langston, Ashoka Nagar, , Pune, Maharashtra",1300,
116,Kenga,9194905027,"Shardul East Heaven, Loni Kalbhor, , Pune, Maharashtra",AssemblyBuildings,448800,07-06-2025,"A/1 Sai vihar complex , de chakan road 410507, , Pune, Maharashtra",1200,
117,Kerthiga,9192160064,"Viman Nagar, , Pune, Maharashtra",AssemblyBuildings,646800,7/14/2025,"Nestaway-60676, Chinchwad, , Pune, Maharashtra",1200,
118,Keshika,9120512798,"Disha Skyline, Viman Nagar, , Pune, Maharashtra",AssemblyBuildings,8290000,7/22/2025,"Nigdi, , Pune, Maharashtra",1200,
119,Ketika,9129002782,"Pashankar Yin Yang, Kharadi, , Pune, Maharashtra",AssemblyBuildings,14090000,7/30/2025,"E-Homes, Hinjewadi Phase 2, , Pune, Maharashtra",1200,
120,Khaivya,9129092687,"Greenland Society, Pimple Saudagar, , Pune, Maharashtra",AssemblyBuildings,9490000,08-07-2025,"SANSKRUTI APPARTMENT, CHINCHWAD,PUNE-19, Chinchwad, , Pune, Maharashtra",1200,
121,Khiaa,9193197001,"Sunrise Residency, Dhanori, , Pune, Maharashtra",AssemblyBuildings,910800,8/15/2025,"Forest County, Kharadi, , Pune, Maharashtra",1650,
122,Khushboo,9938765435,"silver hills , Undri, , Pune, Maharashtra",AssemblyBuildings,2915000,8/23/2025,"GK Royale Hills, Ravet, , Pune, Maharashtra",1650,
123,Khwaish,9128006863,"New Sanghvi, , Pune, Maharashtra",AssemblyBuildings,23550000,8/31/2025,"Runwal Meadows, Warje, , Pune, Maharashtra",1650,
124,Kimatra,9129096709,"BU Bhandari Vaastu Viva, Wakad, , Pune, Maharashtra",AssemblyBuildings,11380000,09-08-2025,"Moze Unique Residency, Wagholi, , Pune, Maharashtra",1650,
125,Kinnari,9923400082,"Gera Greensville Sky Villas, Kharadi, , Pune, Maharashtra",AssemblyBuildings,448800,9/16/2025,"Kolte Patil 24K Glitterati, Pimple Nilakh, , Pune, Maharashtra",1650,
126,Kirati,9122221174,"on request, Keshav Nagar, , Pune, Maharashtra",AssemblyBuildings,93590000,9/24/2025,"Aapla Ghar Sanaswadi, Sanaswadi, , Pune, Maharashtra",1650,
127,Kirthi,9108767171,"Subhash krupa appartment, near joglekar nursery, , Pune, Maharashtra",AssemblyBuildings,895620,10-02-2025,"Xrbia Township, Marunji, , Pune, Maharashtra",1650,
128,Kishani,9125847941,"The Omega Paradise Phase 1, Shankar Kalat Nagar, , Pune, Maharashtra",AssemblyBuildings,10890000,10-10-2025,"Tejas Poorva Heights, Pashan-Sus Road, , Pune, Maharashtra",1650,
129,Kismathy,9126314974,"PARMAR RESIDENCY, Salunke Vihar, , Pune, Maharashtra",AssemblyBuildings,9990000,10/18/2025,"Shilplekha housing society, Aundh Gaon, , Pune, Maharashtra",1650,
130,Kodeswari,9126438201,"Geras Adara, Hinjewadi, , Pune, Maharashtra",AssemblyBuildings,11090000,10/26/2025,"Paranjape Blue Ridge, Hinjewadi, , Pune, Maharashtra",1650,
131,Komaari,9126485103,"Rahul Park, Warje, , Pune, Maharashtra",AssemblyBuildings,10590000,11-03-2025,"Samarth Colony, , Pune, Maharashtra",1650,
132,Koormadhi,9127265316,"Lodha Billmondo Gahunje, Gahunje, , Pune, Maharashtra",AssemblyBuildings,9890000,11-11-2025,"7 Plumeria Drive, Dange Chowk, , Pune, Maharashtra",1650,
133,Kosika,9124865207,"Nirmal Township, Anand Nagar, , Pune, Maharashtra",AssemblyBuildings,11890000,11/19/2025,"Salpe Sankul, uttkarsh society katraj, Katraj Lake, Katraj Kondhwa Road, , Pune, Maharashtra",1650,
134,Kowmari,9125472302,"RK Spectra, Bavdhan, , Pune, Maharashtra",AssemblyBuildings,11390000,11/27/2025,"Bhandari The Parkland, Balewadi, , Pune, Maharashtra",1650,
135,Kreesha,9125728926,"Panchshil Waterfront, Kalyani Nagar, , Pune, Maharashtra",AssemblyBuildings,10890000,12-05-2025,"Palace Orchard CHS, NIBM, , Pune, Maharashtra",1650,
136,Krishna Priya,9128518752,"Konark Pooram, Kondhwa, , Pune, Maharashtra",AssemblyBuildings,9480000,12/13/2025,"Sun Residency, Hinjewadi, , Pune, Maharashtra",1650,
137,Kristy,9126987695,"Gokhale Nagar, , Pune, Maharashtra",AssemblyBuildings,12690000,12/21/2025,"Bramha chaitanya society, Warje, , Pune, Maharashtra",1650,
138,Krittika,9125481683,"Ashok Chakra, Meera Nagar, , Pune, Maharashtra",AssemblyBuildings,11090000,12/29/2025,"Karia Konark Elegance, Kalyani Nagar Annexe, , Pune, Maharashtra",1650,
139,Krupali,9125487904,"Balaji Prasad, Hasabnis Bakhal, , Pune, Maharashtra",AssemblyBuildings,10890000,01-06-2026,"Aakar Dangat Corner, Kiwale, , Pune, Maharashtra",1650,
140,Krutika,9125312669,"JEEVANDHARA CO OP HSG SOCIETY, Yerwada, , Pune, Maharashtra",AssemblyBuildings,11090000,1/14/2026,"The Landmark CHS, Undri, , Pune, Maharashtra",1650,
